"STATISTIC Label","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1980 November","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 November","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 November","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 November","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 November","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 November","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 December","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1980 December","Urea (46% N)","Euro per Tonne","167"
"Fertiliser Price","1980 December","Granular Superphosphate (16% P)","Euro per Tonne","195"
"Fertiliser Price","1980 December","Muriate of Potash (50% K)","Euro per Tonne","121"
"Fertiliser Price","1980 December","Compound 0-10-20","Euro per Tonne","148"
"Fertiliser Price","1980 December","Compound 0-7-30","Euro per Tonne","146"
"Fertiliser Price","1980 December","Compound 7-6-17","Euro per Tonne","179"
"Fertiliser Price","1980 December","Compound 10-10-20","Euro per Tonne","187"
"Fertiliser Price","1980 December","Compound 14-7-14","Euro per Tonne","176"
"Fertiliser Price","1980 December","Compound 18-6-12","Euro per Tonne","177"
"Fertiliser Price","1980 December","Compound 24-2.5-10","Euro per Tonne","169"
"Fertiliser Price","1980 December","Compound 27-2.5-5","Euro per Tonne","165"
"Fertiliser Price","1980 December","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 December","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 December","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 December","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 December","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 December","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 December","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 December","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 December","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 December","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 December","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 December","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981 January","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","127"
"Fertiliser Price","1981 January","Urea (46% N)","Euro per Tonne","169"
"Fertiliser Price","1981 January","Granular Superphosphate (16% P)","Euro per Tonne","197"
"Fertiliser Price","1981 January","Muriate of Potash (50% K)","Euro per Tonne","127"
"Fertiliser Price","1981 January","Compound 0-10-20","Euro per Tonne","150"
"Fertiliser Price","1981 January","Compound 0-7-30","Euro per Tonne","147"
"Fertiliser Price","1981 January","Compound 7-6-17","Euro per Tonne","180"
"Fertiliser Price","1981 January","Compound 10-10-20","Euro per Tonne","189"
"Fertiliser Price","1981 January","Compound 14-7-14","Euro per Tonne","178"
"Fertiliser Price","1981 January","Compound 18-6-12","Euro per Tonne","179"
"Fertiliser Price","1981 January","Compound 24-2.5-10","Euro per Tonne","171"
"Fertiliser Price","1981 January","Compound 27-2.5-5","Euro per Tonne","168"
"Fertiliser Price","1981 January","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981 January","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981 January","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981 January","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981 January","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981 January","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981 January","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981 January","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981 January","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981 January","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981 January","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981 January","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981 February","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","134"
"Fertiliser Price","1981 February","Urea (46% N)","Euro per Tonne","175"
"Fertiliser Price","1981 February","Granular Superphosphate (16% P)","Euro per Tonne","197"
"Fertiliser Price","1981 February","Muriate of Potash (50% K)","Euro per Tonne","132"
"Fertiliser Price","1981 February","Compound 0-10-20","Euro per Tonne","152"
"Fertiliser Price","1981 February","Compound 0-7-30","Euro per Tonne","150"
"Fertiliser Price","1981 February","Compound 7-6-17","Euro per Tonne","187"
"Fertiliser Price","1981 February","Compound 10-10-20","Euro per Tonne","191"
"Fertiliser Price","1981 February","Compound 14-7-14","Euro per Tonne","180"
"Fertiliser Price","1981 February","Compound 18-6-12","Euro per Tonne","181"
"Fertiliser Price","1981 February","Compound 24-2.5-10","Euro per Tonne","174"
"Fertiliser Price","1981 February","Compound 27-2.5-5","Euro per Tonne","171"
"Fertiliser Price","1981 February","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981 February","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981 February","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981 February","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981 February","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981 February","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981 February","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981 February","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981 February","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1981 February","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1981 February","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1981 February","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1981 March","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","140"
"Fertiliser Price","1981 March","Urea (46% N)","Euro per Tonne","181"
"Fertiliser Price","1981 March","Granular Superphosphate (16% P)","Euro per Tonne","199"
"Fertiliser Price","1981 March","Muriate of Potash (50% K)","Euro per Tonne","134"
"Fertiliser Price","1981 March","Compound 0-10-20","Euro per Tonne","157"
"Fertiliser Price","1981 March","Compound 0-7-30","Euro per Tonne","155"
"Fertiliser Price","1981 March","Compound 7-6-17","Euro per Tonne","188"
"Fertiliser Price","1981 March","Compound 10-10-20","Euro per Tonne","195"
"Fertiliser Price","1981 March","Compound 14-7-14","Euro per Tonne","183"
"Fertiliser Price","1981 March","Compound 18-6-12","Euro per Tonne","184"
"Fertiliser Price","1981 March","Compound 24-2.5-10","Euro per Tonne","179"
"Fertiliser Price","1981 March","Compound 27-2.5-5","Euro per Tonne","176"
"Fertiliser Price","1981 March","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1981 March","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1981 March","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1981 March","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1981 March","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1981 March","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1981 March","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1981 March","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1981 March","Compound 24-2.2-10","Euro per Tonne",""
